run_id,timestamp,tool,targets,total_payloads,total_dropped_at_prepare,total_fired,total_skipped_dedup,total_confirmed,llm_used
3c7e013b,2026-08-19T14:52:01.480432+00:00,graphql,http://localhost:5013/graphql,1,0,1,0,0,True
c3f6b9af,2026-08-19T14:54:22.932156+00:00,schemathesis,vampi=vampi_spec.yaml,1,0,1,0,0,True
38d48133,2026-08-19T14:54:30.320057+00:00,graphql,http://localhost:5013/graphql,1,0,1,0,0,True
e38d07ca,2026-08-19T15:00:07.184386+00:00,schemathesis,"vampi=vampi_spec.yaml,crapi=crapi_spec.yaml",1,0,1,0,0,True
f59dbdec,2026-08-20T05:45:48.856740+00:00,schemathesis,vampi=/home/test/fuzzing-tool/vampi_spec.yaml,1,0,0,1,0,True
8d588f04,2026-08-20T05:46:35.299337+00:00,schemathesis,crapi=/home/test/fuzzing-tool/crapi_spec.yaml,1,1,0,0,0,True
744ee6ea,2026-08-21T15:55:26.042466+00:00,schemathesis,vampi=vampi_spec.yaml,1,0,0,1,0,True
07958b13,2026-08-21T15:56:11.276885+00:00,schemathesis,crapi=crapi_openapi_spec.json,1,1,0,0,0,True
dd93ac04,2026-08-21T15:56:34.124820+00:00,graphql,http://localhost:5013/graphql,1,0,0,1,0,True
a59a7c78,2026-08-21T16:11:13.422660+00:00,schemathesis,vampi=vampi_spec.yaml,1,0,1,0,0,True
32aea500,2026-08-21T16:12:42.699309+00:00,graphql,http://localhost:5013/graphql,1,0,1,0,0,True
41977516,2026-08-21T16:25:53.263030+00:00,schemathesis,crapi=crapi_openapi_spec.json,3,0,3,0,2,True
3b580518,2026-08-21T16:53:08.335482+00:00,graphql,http://localhost:5013/graphql,4,0,4,0,2,True
fce4822c,2026-08-21T17:04:39.598340+00:00,graphql,http://localhost:5013/graphql,4,0,4,0,1,True
e21a4034,2026-08-22T07:18:55.802560+00:00,schemathesis,vampi=vampi_spec.yaml,1,0,1,0,0,True
856404f0,2026-08-22T07:18:57.040914+00:00,schemathesis,crapi=crapi_openapi_spec.json,3,0,3,0,2,True
9e4c1483,2026-08-22T07:18:58.044363+00:00,graphql,http://localhost:5013/graphql,4,0,4,0,1,True
fd0f41d8,2026-08-22T10:04:52.851381+00:00,schemathesis,"vampi=/home/test/fuzzing-tool/vampi_spec.yaml,crapi=/home/test/fuzzing-tool/crapi_openapi_spec.json",4,0,2,2,1,True
2bb08149,2026-08-22T10:04:53.784098+00:00,graphql,http://localhost:5013/graphql,4,0,3,1,0,True
a0b38cee,2026-08-22T10:14:54.319677+00:00,schemathesis,vampi=/home/test/fuzzing-tool/vampi_spec.yaml,4,3,1,0,0,True
e680295c,2026-08-22T10:14:55.477519+00:00,schemathesis,crapi=/home/test/fuzzing-tool/crapi_openapi_spec.json,4,1,0,3,0,True
786b0b94,2026-08-22T10:14:56.305288+00:00,graphql,http://localhost:5013/graphql,4,0,3,1,0,True
7ff11a03,2026-08-22T10:17:36.709706+00:00,schemathesis,vampi=/home/test/fuzzing-tool/vampi_spec.yaml,4,3,1,0,0,True
2462e8bb,2026-08-22T10:17:39.745389+00:00,schemathesis,crapi=/home/test/fuzzing-tool/crapi_openapi_spec.json,4,1,3,0,2,True
d6c815d8,2026-08-22T10:17:41.202705+00:00,graphql,http://localhost:5013/graphql,4,0,4,0,1,True
07ce8ec5,2026-08-22T12:36:31.398374+00:00,schemathesis,vampi=/home/test/fuzzing-tool/vampi_spec.yaml,4,3,1,0,0,True
04fe9f16,2026-08-22T12:36:32.422421+00:00,schemathesis,crapi=/home/test/fuzzing-tool/crapi_openapi_spec.json,4,1,1,2,0,True
881ab9fd,2026-08-22T12:36:33.094082+00:00,graphql,http://localhost:5013/graphql,4,0,3,1,0,True
5940592d,2026-08-22T12:56:01.927357+00:00,schemathesis,vampi=/home/test/fuzzing-tool/vampi_spec.yaml,1,0,1,0,0,True
045dc311,2026-08-22T12:56:02.897446+00:00,schemathesis,crapi=/home/test/fuzzing-tool/crapi_openapi_spec.json,3,0,1,2,0,True
2c7f2715,2026-08-22T12:56:03.541075+00:00,graphql,http://localhost:5013/graphql,4,0,3,1,0,True
9cc9524b,2026-08-23T06:48:48.362854+00:00,schemathesis,vampi=/home/test/fuzzing-tool/main_pipeline/vampi_spec.yaml,1,0,0,1,0,True
1b5514a5,2026-08-23T06:48:49.556876+00:00,schemathesis,crapi=/home/test/fuzzing-tool/main_pipeline/crapi_openapi_spec.json,3,0,0,3,0,True
46c74983,2026-08-23T06:48:50.288460+00:00,graphql,http://localhost:5013/graphql,4,0,0,4,0,True
